
-------------------------------
number of philos 5
[287]: 3 is thinking
[287]: 3 is sleeping
[288]: 1 is thinking
[288]: 1 is sleeping
[288]: 5 is thinking
[288]: 5 is sleeping
[288]: 4 is thinking
[288]: 4 is sleeping
[288]: 2 is thinking
[288]: 2 is sleeping
[289]: 3 is thinking
[289]: 3 is sleeping
[289]: 1 is thinking
[289]: 1 is sleeping
[289]: 5 is thinking
[289]: 5 is sleeping
[289]: 4 is thinking
[289]: 4 is sleeping
[290]: 2 is thinking
[290]: 2 is sleeping
[290]: 3 is thinking
[290]: 3 is sleeping
[290]: 1 is thinking
[290]: 1 is sleeping
[290]: 5 is thinking
[290]: 5 is sleeping
[291]: 4 is thinking
[291]: 4 is sleeping
[291]: 2 is thinking
[291]: 2 is sleeping
[291]: 3 is thinking
[291]: 3 is sleeping
[291]: 1 is thinking
[291]: 1 is sleeping
[292]: 5 is thinking
[292]: 5 is sleeping
[292]: 4 is thinking
[292]: 4 is sleeping
[292]: 2 is thinking
[292]: 2 is sleeping
[292]: 3 is thinking
[292]: 3 is sleeping
[293]: 1 is thinking
[293]: 1 is sleeping
[293]: 5 is thinking
[293]: 5 is sleeping
[293]: 4 is thinking
[293]: 4 is sleeping
[294]: 2 is thinking
[294]: 2 is sleeping
[294]: 3 is thinking
[294]: 3 is sleeping
[294]: 1 is thinking
[294]: 1 is sleeping
[294]: 5 is thinking
[294]: 5 is sleeping
[295]: 4 is thinking
[295]: 4 is sleeping
[295]: 2 is thinking
[295]: 2 is sleeping
[295]: 3 is thinking
[295]: 3 is sleeping
[295]: 1 is thinking
[295]: 1 is sleeping
[296]: 5 is thinking
[296]: 5 is sleeping
[296]: 4 is thinking
[296]: 4 is sleeping
[296]: 2 is thinking
[296]: 2 is sleeping
[296]: 3 is thinking
[296]: 3 is sleeping
[297]: 1 is thinking
[297]: 1 is sleeping
[297]: 5 is thinking
[297]: 5 is sleeping
[297]: 4 is thinking
[297]: 4 is sleeping
[297]: 2 is thinking
[297]: 2 is sleeping
[298]: 3 is thinking
[298]: 3 is sleeping
[298]: 1 is thinking
[298]: 1 is sleeping
[298]: 5 is thinking
[298]: 5 is sleeping
[298]: 4 is thinking
[298]: 4 is sleeping
[299]: 2 is thinking
[299]: 2 is sleeping
[299]: 3 is thinking
[299]: 3 is sleeping
[299]: 1 is thinking
[299]: 1 is sleeping
[299]: 5 is thinking
[299]: 5 is sleeping
[300]: 4 is thinking
[300]: 4 is sleeping
[300]: 2 is thinking
[300]: 2 is sleeping
[300]: 3 is thinking
[300]: 3 is sleeping
[300]: 1 is thinking
[300]: 1 is sleeping
[301]: 5 is thinking
[301]: 5 is sleeping
[301]: 4 is thinking
[301]: 4 is sleeping
[301]: 2 is thinking
[301]: 2 is sleeping
[301]: 3 is thinking
[301]: 3 is sleeping
[302]: 3 is thinking
[302]: 3 is sleeping
[302]: 5 is thinking
[302]: 5 is sleeping
[302]: 4 is thinking
[302]: 4 is sleeping
[303]: 2 is thinking
[303]: 2 is sleeping
[303]: 1 is thinking
[303]: 1 is sleeping
[303]: 3 is thinking
[303]: 3 is sleeping
[303]: 5 is thinking
[303]: 5 is sleeping
[304]: 4 is thinking
[304]: 4 is sleeping
[304]: 2 is thinking
[304]: 2 is sleeping
[304]: 1 is thinking
[304]: 1 is sleeping
[304]: 3 is thinking
[304]: 3 is sleeping
[305]: 5 is thinking
[305]: 5 is sleeping
[305]: 4 is thinking
[305]: 4 is sleeping
[305]: 2 is thinking
[305]: 2 is sleeping
[305]: 1 is thinking
[305]: 1 is sleeping
[306]: 3 is thinking
[306]: 3 is sleeping
[306]: 5 is thinking
[306]: 5 is sleeping
[306]: 4 is thinking
[306]: 4 is sleeping
[306]: 2 is thinking
[306]: 2 is sleeping
[307]: 1 is thinking
[307]: 1 is sleeping
[307]: 3 is thinking
[307]: 3 is sleeping
[307]: 5 is thinking
[307]: 5 is sleeping
[307]: 4 is thinking
[307]: 4 is sleeping
[308]: 2 is thinking
[308]: 2 is sleeping
[308]: 1 is thinking
[308]: 1 is sleeping
[308]: 3 is thinking
[308]: 3 is sleeping
[308]: 5 is thinking
[308]: 5 is sleeping
[309]: 4 is thinking
[309]: 4 is sleeping
[309]: 2 is thinking
[309]: 2 is sleeping
[309]: 1 is thinking
[309]: 1 is sleeping
[309]: 3 is thinking
[309]: 3 is sleeping
[310]: 5 is thinking
[310]: 5 is sleeping
[310]: 4 is thinking
[310]: 4 is sleeping
[310]: 2 is thinking
[310]: 2 is sleeping
[310]: 1 is thinking
[310]: 1 is sleeping
[311]: 3 is thinking
[311]: 3 is sleeping
[311]: 5 is thinking
[311]: 5 is sleeping
[311]: 4 is thinking
[311]: 4 is sleeping
[311]: 2 is thinking
[311]: 2 is sleeping
[312]: 1 is thinking
[312]: 1 is sleeping
[312]: 3 is thinking
[312]: 3 is sleeping
[312]: 5 is thinking
[312]: 5 is sleeping
[313]: 4 is thinking
[313]: 4 is sleeping
[313]: 2 is thinking
[313]: 2 is sleeping
[313]: 1 is thinking
[313]: 1 is sleeping
[313]: 3 is thinking
[313]: 3 is sleeping
[314]: 5 is thinking
[314]: 5 is sleeping
[314]: 4 is thinking
[314]: 4 is sleeping
[314]: 2 is thinking
[314]: 2 is sleeping
[314]: 1 is thinking
[314]: 1 is sleeping
[315]: 3 is thinking
[315]: 3 is sleeping
[315]: 5 is thinking
[315]: 5 is sleeping
[315]: 4 is thinking
[315]: 4 is sleeping
[315]: 2 is thinking
[315]: 2 is sleeping
[316]: 1 is thinking
[316]: 1 is sleeping
[316]: 3 is thinking
[316]: 3 is sleeping
[316]: 5 is thinking
[316]: 5 is sleeping
[316]: 4 is thinking
[316]: 4 is sleeping
[317]: 2 is thinking
[317]: 2 is sleeping
[317]: 1 is thinking
[317]: 1 is sleeping
[317]: 3 is thinking
[317]: 3 is sleeping
[317]: 5 is thinking
[317]: 5 is sleeping
[318]: 4 is thinking
[318]: 4 is sleeping
[318]: 2 is thinking
[318]: 2 is sleeping
[318]: 1 is thinking
[318]: 1 is sleeping
[318]: 3 is thinking
[318]: 3 is sleeping
[319]: 5 is thinking
[319]: 5 is sleeping
[319]: 4 is thinking
[319]: 4 is sleeping
[319]: 2 is thinking
[319]: 2 is sleeping
[319]: 1 is thinking
[319]: 1 is sleeping
[320]: 3 is thinking
[320]: 3 is sleeping
[320]: 5 is thinking
[320]: 5 is sleeping
[320]: 4 is thinking
[320]: 4 is sleeping
[320]: 2 is thinking
[320]: 2 is sleeping
[321]: 1 is thinking
[321]: 1 is sleeping
[321]: 3 is thinking
[321]: 3 is sleeping
[321]: 5 is thinking
[321]: 5 is sleeping
[321]: 4 is thinking
[322]: 4 is sleeping
[322]: 2 is thinking
[322]: 2 is sleeping
[322]: 1 is thinking
[322]: 1 is sleeping
[322]: 3 is thinking
[322]: 3 is sleeping
[323]: 5 is thinking
[323]: 5 is sleeping
[323]: 4 is thinking
[323]: 4 is sleeping
[323]: 2 is thinking
[323]: 2 is sleeping
[323]: 1 is thinking
[323]: 1 is sleeping
[324]: 3 is thinking
[324]: 3 is sleeping
[324]: 5 is thinking
[324]: 5 is sleeping
[324]: 4 is thinking
[324]: 4 is sleeping
[324]: 2 is thinking
[324]: 2 is sleeping
[325]: 1 is thinking
[325]: 1 is sleeping
[325]: 3 is thinking
[325]: 3 is sleeping
[325]: 5 is thinking
[325]: 5 is sleeping
[325]: 4 is thinking
[325]: 4 is sleeping
[326]: 2 is thinking
[326]: 2 is sleeping
[326]: 1 is thinking
[326]: 1 is sleeping
[326]: 3 is thinking
[326]: 3 is sleeping
[326]: 5 is thinking
[326]: 5 is sleeping
[327]: 4 is thinking
[327]: 4 is sleeping
[327]: 2 is thinking
[327]: 2 is sleeping
[327]: 1 is thinking
[327]: 1 is sleeping
[327]: 3 is thinking
[327]: 3 is sleeping
[328]: 5 is thinking
[328]: 5 is sleeping
[328]: 4 is thinking
[328]: 4 is sleeping
[328]: 2 is thinking
[328]: 2 is sleeping
[328]: 1 is thinking
[328]: 1 is sleeping
[329]: 3 is thinking
[329]: 3 is sleeping
[329]: 5 is thinking
[329]: 5 is sleeping
[329]: 4 is thinking
[329]: 4 is sleeping
[329]: 2 is thinking
[329]: 2 is sleeping
[330]: 1 is thinking
[330]: 1 is sleeping
[330]: 3 is thinking
[330]: 3 is sleeping
[330]: 5 is thinking
[330]: 5 is sleeping
[330]: 4 is thinking
[330]: 4 is sleeping
[331]: 2 is thinking
[331]: 2 is sleeping
[331]: 1 is thinking
[331]: 1 is sleeping
[331]: 3 is thinking
[331]: 3 is sleeping
[331]: 5 is thinking
[331]: 5 is sleeping
[332]: 4 is thinking
[332]: 4 is sleeping
[332]: 2 is thinking
[332]: 2 is sleeping
[332]: 1 is thinking
[332]: 1 is sleeping
[333]: 3 is thinking
[333]: 3 is sleeping
[333]: 5 is thinking
[333]: 5 is sleeping
[333]: 4 is thinking
[333]: 4 is sleeping
[333]: 2 is thinking
[333]: 2 is sleeping
[334]: 1 is thinking
[334]: 1 is sleeping
[334]: 3 is thinking
[334]: 3 is sleeping
[334]: 5 is thinking
[334]: 5 is sleeping
[334]: 4 is thinking
[334]: 4 is sleeping
[335]: 2 is thinking
[335]: 2 is sleeping
[335]: 1 is thinking
[335]: 1 is sleeping
[335]: 3 is thinking
[335]: 3 is sleeping
[335]: 5 is thinking
[335]: 5 is sleeping
[336]: 4 is thinking
[336]: 4 is sleeping
[336]: 2 is thinking
[336]: 2 is sleeping
[336]: 1 is thinking
[336]: 1 is sleeping
[336]: 3 is thinking
[336]: 3 is sleeping
[337]: 5 is thinking
[337]: 5 is sleeping
[337]: 4 is thinking
[337]: 4 is sleeping
[337]: 2 is thinking
[337]: 2 is sleeping
[337]: 1 is thinking
[337]: 1 is sleeping
[338]: 3 is thinking
[338]: 3 is sleeping
[338]: 5 is thinking
[338]: 5 is sleeping
[338]: 4 is thinking
[338]: 4 is sleeping
[338]: 2 is thinking
[338]: 2 is sleeping
[339]: 1 is thinking
[339]: 1 is sleeping
[339]: 3 is thinking
[339]: 3 is sleeping
[339]: 5 is thinking
[339]: 5 is sleeping
[339]: 4 is thinking
[339]: 4 is sleeping
[340]: 2 is thinking
[340]: 2 is sleeping
[340]: 1 is thinking
[340]: 1 is sleeping
[340]: 3 is thinking
[340]: 3 is sleeping
[340]: 5 is thinking
[340]: 5 is sleeping
[341]: 4 is thinking
[341]: 4 is sleeping
[341]: 2 is thinking
[341]: 2 is sleeping
[341]: 1 is thinking
[341]: 1 is sleeping
[342]: 3 is thinking
[342]: 3 is sleeping
[342]: 5 is thinking
[342]: 5 is sleeping
[342]: 4 is thinking
[342]: 4 is sleeping
[342]: 2 is thinking
[342]: 2 is sleeping
[343]: 1 is thinking
[343]: 1 is sleeping
[343]: 3 is thinking
[343]: 3 is sleeping
[343]: 5 is thinking
[343]: 5 is sleeping
[343]: 4 is thinking
[343]: 4 is sleeping
[344]: 2 is thinking
[344]: 2 is sleeping
[344]: 1 is thinking
[344]: 1 is sleeping
[344]: 3 is thinking
[344]: 3 is sleeping
[344]: 5 is thinking
[344]: 5 is sleeping
[345]: 4 is thinking
[345]: 4 is sleeping
[345]: 2 is thinking
[345]: 2 is sleeping
[345]: 1 is thinking
[345]: 1 is sleeping
[345]: 3 is thinking
[345]: 3 is sleeping
[346]: 5 is thinking
[346]: 5 is sleeping
[346]: 4 is thinking
[346]: 4 is sleeping
[346]: 2 is thinking
[346]: 2 is sleeping
[346]: 1 is thinking
[346]: 1 is sleeping
[347]: 3 is thinking
[347]: 3 is sleeping
[347]: 5 is thinking
[347]: 5 is sleeping
[347]: 4 is thinking
[347]: 4 is sleeping
[347]: 2 is thinking
[347]: 2 is sleeping
[348]: 1 is thinking
[348]: 1 is sleeping
[348]: 3 is thinking
[348]: 3 is sleeping
[348]: 5 is thinking
[348]: 5 is sleeping
[348]: 4 is thinking
[348]: 4 is sleeping
[349]: 2 is thinking
[349]: 2 is sleeping
[349]: 1 is thinking
[349]: 1 is sleeping
[349]: 3 is thinking
[349]: 3 is sleeping
[349]: 5 is thinking
[349]: 5 is sleeping
[350]: 4 is thinking
[350]: 4 is sleeping
[350]: 2 is thinking
[350]: 2 is sleeping
[350]: 1 is thinking
[350]: 1 is sleeping
[350]: 3 is thinking
[350]: 3 is sleeping
[351]: 5 is thinking
[351]: 5 is sleeping
[351]: 4 is thinking
[351]: 4 is sleeping
[351]: 2 is thinking
[351]: 2 is sleeping
[352]: 1 is thinking
[352]: 1 is sleeping
[352]: 3 is thinking
[352]: 3 is sleeping
[352]: 5 is thinking
[352]: 5 is sleeping
[352]: 4 is thinking
[352]: 4 is sleeping
[353]: 2 is thinking
[353]: 2 is sleeping
[353]: 1 is thinking
[353]: 1 is sleeping
[353]: 3 is thinking
[353]: 3 is sleeping
[353]: 5 is thinking
[353]: 5 is sleeping
[354]: 4 is thinking
[354]: 4 is sleeping
[354]: 2 is thinking
[354]: 2 is sleeping
[354]: 1 is thinking
[354]: 1 is sleeping
[354]: 3 is thinking
[354]: 3 is sleeping
[355]: 5 is thinking
[355]: 5 is sleeping
[355]: 4 is thinking
[355]: 4 is sleeping
[355]: 2 is thinking
[355]: 2 is sleeping
[355]: 1 is thinking
[355]: 1 is sleeping
[356]: 3 is thinking
[356]: 3 is sleeping
[356]: 5 is thinking
[356]: 5 is sleeping
[356]: 4 is thinking
[356]: 4 is sleeping
[356]: 2 is thinking
[356]: 2 is sleeping
[357]: 1 is thinking
[357]: 1 is sleeping
[357]: 3 is thinking
[357]: 3 is sleeping
[357]: 5 is thinking
[357]: 5 is sleeping
[357]: 4 is thinking
[357]: 4 is sleeping
[358]: 2 is thinking
[358]: 2 is sleeping
[358]: 1 is thinking
[358]: 1 is sleeping
[358]: 3 is thinking
[358]: 3 is sleeping
[358]: 5 is thinking
[358]: 5 is sleeping
[359]: 4 is thinking
[359]: 4 is sleeping
[359]: 2 is thinking
[359]: 2 is sleeping
[359]: 1 is thinking
[359]: 1 is sleeping
[359]: 3 is thinking
[359]: 3 is sleeping
[360]: 5 is thinking
[360]: 5 is sleeping
[360]: 4 is thinking
[360]: 4 is sleeping
[360]: 2 is thinking
[360]: 2 is sleeping
[360]: 1 is thinking
[360]: 1 is sleeping
[361]: 3 is thinking
[361]: 3 is sleeping
[361]: 5 is thinking
[361]: 5 is sleeping
[361]: 4 is thinking
[361]: 4 is sleeping
[362]: 2 is thinking
[362]: 2 is sleeping
[362]: 1 is thinking
[362]: 1 is sleeping
[362]: 3 is thinking
[362]: 3 is sleeping
[362]: 5 is thinking
[362]: 5 is sleeping
[363]: 4 is thinking
[363]: 4 is sleeping
[363]: 2 is thinking
[363]: 2 is sleeping
[363]: 1 is thinking
[363]: 1 is sleeping
[363]: 3 is thinking
[363]: 3 is sleeping
[364]: 5 is thinking
[364]: 5 is sleeping
[364]: 4 is thinking
[364]: 4 is sleeping
[364]: 2 is thinking
[364]: 2 is sleeping
[364]: 1 is thinking
[364]: 1 is sleeping
[365]: 3 is thinking
[365]: 3 is sleeping
[365]: 5 is thinking
[365]: 5 is sleeping
[365]: 4 is thinking
[365]: 4 is sleeping
[365]: 2 is thinking
[365]: 2 is sleeping
[366]: 1 is thinking
[366]: 1 is sleeping
[366]: 3 is thinking
[366]: 3 is sleeping
[366]: 5 is thinking
[366]: 5 is sleeping
[366]: 4 is thinking
[366]: 4 is sleeping
[367]: 2 is thinking
[367]: 2 is sleeping
[367]: 1 is thinking
[367]: 1 is sleeping
[367]: 3 is thinking
[367]: 3 is sleeping
[367]: 5 is thinking
[367]: 5 is sleeping
[368]: 4 is thinking
[368]: 4 is sleeping
[368]: 2 is thinking
[368]: 2 is sleeping
[368]: 1 is thinking
[368]: 1 is sleeping
[368]: 3 is thinking
[368]: 3 is sleeping
[369]: 5 is thinking
[369]: 5 is sleeping
[369]: 4 is thinking
[369]: 4 is sleeping
[369]: 2 is thinking
[369]: 2 is sleeping
[369]: 1 is thinking
[369]: 1 is sleeping
[370]: 3 is thinking
[370]: 3 is sleeping
[370]: 5 is thinking
[370]: 5 is sleeping
[370]: 4 is thinking
[370]: 4 is sleeping
[371]: 2 is thinking
[371]: 2 is sleeping
[371]: 1 is thinking
[371]: 1 is sleeping
[371]: 3 is thinking
[371]: 3 is sleeping
[371]: 5 is thinking
[371]: 5 is sleeping
[372]: 4 is thinking
[372]: 4 is sleeping
[372]: 2 is thinking
[372]: 2 is sleeping
[372]: 1 is thinking
[372]: 1 is sleeping
[372]: 3 is thinking
[372]: 3 is sleeping
[373]: 5 is thinking
[373]: 5 is sleeping
[373]: 4 is thinking
[373]: 4 is sleeping
[373]: 2 is thinking
[373]: 2 is sleeping
[373]: 1 is thinking
[373]: 1 is sleeping
[374]: 3 is thinking
[374]: 3 is sleeping
[374]: 5 is thinking
[374]: 5 is sleeping
[374]: 4 is thinking
[374]: 4 is sleeping
[374]: 2 is thinking
[374]: 2 is sleeping
[375]: 1 is thinking
[375]: 1 is sleeping
[375]: 3 is thinking
[375]: 3 is sleeping
[375]: 5 is thinking
[375]: 5 is sleeping
[375]: 4 is thinking
[375]: 4 is sleeping
[376]: 2 is thinking
[376]: 2 is sleeping
[376]: 1 is thinking
[376]: 1 is sleeping
[376]: 3 is thinking
[376]: 3 is sleeping
[376]: 5 is thinking
[376]: 5 is sleeping
[377]: 4 is thinking
[377]: 4 is sleeping
[377]: 2 is thinking
[377]: 2 is sleeping
[377]: 1 is thinking
[377]: 1 is sleeping
[377]: 3 is thinking
[377]: 3 is sleeping
[378]: 5 is thinking
[378]: 5 is sleeping
[378]: 4 is thinking
[378]: 4 is sleeping
[378]: 2 is thinking
[378]: 2 is sleeping
[378]: 1 is thinking
[378]: 1 is sleeping
[379]: 3 is thinking
[379]: 3 is sleeping
[379]: 5 is thinking
[379]: 5 is sleeping
[379]: 4 is thinking
[379]: 4 is sleeping
[379]: 2 is thinking
[379]: 2 is sleeping
[380]: 1 is thinking
[380]: 1 is sleeping
[380]: 3 is thinking
[380]: 3 is sleeping
[380]: 5 is thinking
[380]: 5 is sleeping
[381]: 4 is thinking
[381]: 4 is sleeping
[381]: 2 is thinking
[381]: 2 is sleeping
[381]: 1 is thinking
[381]: 1 is sleeping
[381]: 3 is thinking
[381]: 3 is sleeping
[382]: 5 is thinking
[382]: 5 is sleeping
[382]: 5 is thinking
[382]: 5 is sleeping
[382]: 5 is thinking
[382]: 5 is sleeping
[382]: 5 is thinking
[382]: 5 is sleeping
[383]: 3 is thinking
[383]: 3 is sleeping
[383]: 4 is thinking
[383]: 4 is sleeping
[383]: 4 is thinking
[383]: 4 is sleeping
[383]: 4 is thinking
[383]: 4 is sleeping
[384]: 4 is thinking
[384]: 4 is sleeping
[384]: 3 is thinking
[384]: 3 is sleeping
[384]: 2 is thinking
[384]: 2 is sleeping
[384]: 2 is thinking
[384]: 2 is sleeping
[385]: 2 is thinking
[385]: 2 is sleeping
[385]: 2 is thinking
[385]: 2 is sleeping
[385]: 3 is thinking
[385]: 3 is sleeping
[385]: 1 is thinking
[385]: 1 is sleeping
[386]: 1 is thinking
[386]: 1 is sleeping
[386]: 4 is thinking
[386]: 4 is sleeping
[386]: 2 is thinking
[386]: 2 is sleeping
[386]: 3 is thinking
[386]: 3 is sleeping
[387]: 5 is thinking
[387]: 5 is sleeping
[387]: 1 is thinking
[387]: 1 is sleeping
[387]: 4 is thinking
[387]: 4 is sleeping
[387]: 2 is thinking
[387]: 2 is sleeping
[388]: 3 is thinking
[388]: 3 is sleeping
[388]: 5 is thinking
[388]: 5 is sleeping
[388]: 1 is thinking
[388]: 1 is sleeping
[388]: 4 is thinking
[388]: 4 is sleeping
[389]: 2 is thinking
[389]: 2 is sleeping
[389]: 3 is thinking
[389]: 3 is sleeping
[389]: 5 is thinking
[389]: 5 is sleeping
[390]: 1 is thinking
[390]: 1 is sleeping
[390]: 4 is thinking
[390]: 4 is sleeping
[390]: 2 is thinking
[390]: 2 is sleeping
[390]: 3 is thinking
[390]: 3 is sleeping
[391]: 5 is thinking
[391]: 5 is sleeping
[391]: 1 is thinking
[391]: 1 is sleeping
[391]: 4 is thinking
[391]: 4 is sleeping
[391]: 2 is thinking
[391]: 2 is sleeping
[392]: 3 is thinking
[392]: 3 is sleeping
[392]: 5 is thinking
[392]: 5 is sleeping
[392]: 1 is thinking
[392]: 1 is sleeping
[392]: 4 is thinking
[392]: 4 is sleeping
[393]: 2 is thinking
[393]: 2 is sleeping
[393]: 3 is thinking
[393]: 3 is sleeping
[393]: 5 is thinking
[393]: 5 is sleeping
[393]: 1 is thinking
[393]: 1 is sleeping
[394]: 4 is thinking
[394]: 4 is sleeping
[394]: 2 is thinking
[394]: 2 is sleeping
[394]: 3 is thinking
[394]: 3 is sleeping
[394]: 5 is thinking
[394]: 5 is sleeping
[395]: 1 is thinking
[395]: 1 is sleeping
[395]: 4 is thinking
[395]: 4 is sleeping
[395]: 2 is thinking
[395]: 2 is sleeping
[395]: 3 is thinking
[395]: 3 is sleeping
[396]: 5 is thinking
[396]: 5 is sleeping
[396]: 1 is thinking
[396]: 1 is sleeping
[396]: 4 is thinking
[396]: 4 is sleeping
[396]: 2 is thinking
[396]: 2 is sleeping
[397]: 3 is thinking
[397]: 3 is sleeping
[397]: 5 is thinking
[397]: 5 is sleeping
[397]: 1 is thinking
[397]: 1 is sleeping
[397]: 4 is thinking
[397]: 4 is sleeping
[398]: 2 is thinking
[398]: 2 is sleeping
[398]: 3 is thinking
[398]: 3 is sleeping
[398]: 3 is thinking
[398]: 3 is sleeping
[398]: 1 is thinking
[399]: 1 is sleeping
[399]: 4 is thinking
[399]: 4 is sleeping
[399]: 2 is thinking
[399]: 2 is sleeping
[399]: 5 is thinking
[399]: 5 is sleeping
[400]: 5 is thinking
[400]: 5 is sleeping
[400]: 1 is thinking
[400]: 1 is sleeping
[400]: 4 is thinking
[400]: 4 is sleeping
[400]: 2 is thinking
[400]: 2 is sleeping
[401]: 3 is thinking
[401]: 3 is sleeping
[401]: 3 is thinking
[401]: 3 is sleeping
[401]: 1 is thinking
[401]: 1 is sleeping
[401]: 4 is thinking
[401]: 4 is sleeping
[402]: 2 is thinking
[402]: 2 is sleeping
[402]: 5 is thinking
[402]: 5 is sleeping
[402]: 5 is thinking
[402]: 5 is sleeping
[402]: 1 is thinking
[402]: 1 is sleeping
[403]: 4 is thinking
[403]: 4 is sleeping
[403]: 2 is thinking
[403]: 2 is sleeping
[403]: 3 is thinking
[403]: 3 is sleeping
[403]: 3 is thinking
[403]: 3 is sleeping
[404]: 1 is thinking
[404]: 1 is sleeping
[404]: 4 is thinking
[404]: 4 is sleeping
[404]: 2 is thinking
[404]: 2 is sleeping
[404]: 5 is thinking
[404]: 5 is sleeping
[405]: 5 is thinking
[405]: 5 is sleeping
[405]: 1 is thinking
[405]: 1 is sleeping
[405]: 4 is thinking
[405]: 4 is sleeping
[405]: 2 is thinking
[405]: 2 is sleeping
[406]: 3 is thinking
[406]: 3 is sleeping
[406]: 3 is thinking
[406]: 3 is sleeping
[406]: 1 is thinking
[406]: 1 is sleeping
[406]: 4 is thinking
[406]: 4 is sleeping
[407]: 2 is thinking
[407]: 2 is sleeping
[407]: 5 is thinking
[407]: 5 is sleeping
[407]: 5 is thinking
[407]: 5 is sleeping
[407]: 1 is thinking
[407]: 1 is sleeping
[408]: 4 is thinking
[408]: 4 is sleeping
[408]: 2 is thinking
[408]: 2 is sleeping
[408]: 3 is thinking
[408]: 3 is sleeping
[409]: 3 is thinking
[409]: 3 is sleeping
[409]: 1 is thinking
[409]: 1 is sleeping
[409]: 4 is thinking
[409]: 4 is sleeping
[409]: 2 is thinking
[409]: 2 is sleeping
[410]: 5 is thinking
[410]: 5 is sleeping
[410]: 5 is thinking
[410]: 5 is sleeping
[410]: 1 is thinking
[410]: 1 is sleeping
[410]: 1 is thinking
[410]: 1 is sleeping
[411]: 1 is thinking
[411]: 1 is sleeping
[411]: 3 is thinking
[411]: 3 is sleeping
[411]: 3 is thinking
[411]: 3 is sleeping
[411]: 4 is thinking
[411]: 4 is sleeping
[412]: 4 is thinking
[412]: 4 is sleeping
[412]: 4 is thinking
[412]: 4 is sleeping
[412]: 5 is thinking
[412]: 5 is sleeping
[412]: 5 is thinking
[412]: 5 is sleeping
[413]: 2 is thinking
[413]: 2 is sleeping
[413]: 1 is thinking
[413]: 1 is sleeping
[413]: 4 is thinking
[413]: 4 is sleeping
[413]: 3 is thinking
[413]: 3 is sleeping
[414]: 5 is thinking
[414]: 5 is sleeping
[414]: 2 is thinking
[414]: 2 is sleeping
[414]: 1 is thinking
[414]: 1 is sleeping
[414]: 4 is thinking
[414]: 4 is sleeping
[415]: 3 is thinking
[415]: 3 is sleeping
[415]: 5 is thinking
[415]: 5 is sleeping
[415]: 2 is thinking
[415]: 2 is sleeping
[415]: 1 is thinking
[415]: 1 is sleeping
[416]: 4 is thinking
[416]: 4 is sleeping
[416]: 3 is thinking
[416]: 3 is sleeping
[416]: 5 is thinking
[416]: 5 is sleeping
[416]: 2 is thinking
[416]: 2 is sleeping
[417]: 1 is thinking
[417]: 1 is sleeping
[417]: 4 is thinking
[417]: 4 is sleeping
[417]: 3 is thinking
[417]: 3 is sleeping
[418]: 5 is thinking
[418]: 5 is sleeping
[418]: 2 is thinking
[418]: 2 is sleeping
[418]: 1 is thinking
[418]: 1 is sleeping
[418]: 4 is thinking
[418]: 4 is sleeping
[419]: 3 is thinking
[419]: 3 is sleeping
[419]: 5 is thinking
[419]: 5 is sleeping
[419]: 2 is thinking
[419]: 2 is sleeping
[419]: 1 is thinking
[419]: 1 is sleeping
[420]: 4 is thinking
[420]: 4 is sleeping
[420]: 3 is thinking
[420]: 3 is sleeping
[420]: 5 is thinking
[420]: 5 is sleeping
[420]: 2 is thinking
[420]: 2 is sleeping
[421]: 1 is thinking
[421]: 1 is sleeping
[421]: 4 is thinking
[421]: 4 is sleeping
[421]: 3 is thinking
[421]: 3 is sleeping
[421]: 5 is thinking
[421]: 5 is sleeping
[422]: 2 is thinking
[422]: 2 is sleeping
[422]: 1 is thinking
[422]: 1 is sleeping
[422]: 4 is thinking
[422]: 4 is sleeping
[422]: 3 is thinking
[422]: 3 is sleeping
[423]: 5 is thinking
[423]: 5 is sleeping
[423]: 2 is thinking
[423]: 2 is sleeping
[423]: 1 is thinking
[423]: 1 is sleeping
[423]: 4 is thinking
[423]: 4 is sleeping
[424]: 3 is thinking
[424]: 3 is sleeping
[424]: 5 is thinking
[424]: 5 is sleeping
[424]: 2 is thinking
[424]: 2 is sleeping
[424]: 1 is thinking
[424]: 1 is sleeping
[425]: 4 is thinking
[425]: 4 is sleeping
[425]: 3 is thinking
[425]: 3 is sleeping
[425]: 5 is thinking
[425]: 5 is sleeping
[425]: 2 is thinking
[425]: 2 is sleeping
[426]: 1 is thinking
[426]: 1 is sleeping
[426]: 4 is thinking
[426]: 4 is sleeping
[426]: 3 is thinking
[426]: 3 is sleeping
[426]: 5 is thinking
[426]: 5 is sleeping
[427]: 2 is thinking
[427]: 2 is sleeping
[427]: 1 is thinking
[427]: 1 is sleeping
[427]: 4 is thinking
[427]: 4 is sleeping
[428]: 3 is thinking
[428]: 3 is sleeping
[428]: 5 is thinking
[428]: 5 is sleeping
[428]: 2 is thinking
[428]: 2 is sleeping
[428]: 1 is thinking
[428]: 1 is sleeping
[429]: 4 is thinking
[429]: 4 is sleeping
[429]: 3 is thinking
[429]: 3 is sleeping
[429]: 5 is thinking
[429]: 5 is sleeping
[429]: 2 is thinking
[429]: 2 is sleeping
[430]: 1 is thinking
[430]: 1 is sleeping
[430]: 4 is thinking
[430]: 4 is sleeping
[430]: 3 is thinking
[430]: 3 is sleeping
[430]: 5 is thinking
[430]: 5 is sleeping
[431]: 2 is thinking
[431]: 2 is sleeping
