
-------------------------------
number of philos 5
[46]: 4 is thinking
[46]: 4 is sleeping
[46]: 2 is thinking
[46]: 2 is sleeping
[47]: 5 is thinking
[47]: 5 is sleeping
[47]: 3 is thinking
[47]: 3 is sleeping
[47]: 1 is thinking
[47]: 1 is sleeping
[47]: 4 is thinking
[47]: 4 is sleeping
[48]: 2 is thinking
[48]: 2 is sleeping
[48]: 5 is thinking
[48]: 5 is sleeping
[48]: 3 is thinking
[48]: 3 is sleeping
[48]: 1 is thinking
[48]: 1 is sleeping
[49]: 4 is thinking
[49]: 4 is sleeping
[49]: 2 is thinking
[49]: 2 is sleeping
[49]: 5 is thinking
[49]: 5 is sleeping
[50]: 3 is thinking
[50]: 3 is sleeping
[50]: 1 is thinking
[50]: 1 is sleeping
[50]: 4 is thinking
[50]: 4 is sleeping
[50]: 2 is thinking
[50]: 2 is sleeping
[51]: 5 is thinking
[51]: 5 is sleeping
[51]: 3 is thinking
[51]: 3 is sleeping
[51]: 1 is thinking
[51]: 1 is sleeping
[51]: 4 is thinking
[51]: 4 is sleeping
[52]: 2 is thinking
[52]: 2 is sleeping
[52]: 5 is thinking
[52]: 5 is sleeping
[52]: 3 is thinking
[52]: 3 is sleeping
[52]: 1 is thinking
[52]: 1 is sleeping
[53]: 4 is thinking
[53]: 4 is sleeping
[53]: 2 is thinking
[53]: 2 is sleeping
[53]: 5 is thinking
[53]: 5 is sleeping
[53]: 3 is thinking
[53]: 3 is sleeping
[54]: 1 is thinking
[54]: 1 is sleeping
[54]: 4 is thinking
[54]: 4 is sleeping
[54]: 2 is thinking
[54]: 2 is sleeping
[54]: 5 is thinking
[54]: 5 is sleeping
[55]: 3 is thinking
[55]: 3 is sleeping
[55]: 1 is thinking
[55]: 1 is sleeping
[55]: 4 is thinking
[55]: 4 is sleeping
[55]: 2 is thinking
[55]: 2 is sleeping
[56]: 5 is thinking
[56]: 5 is sleeping
[56]: 3 is thinking
[56]: 3 is sleeping
[56]: 1 is thinking
[56]: 1 is sleeping
[56]: 4 is thinking
[56]: 4 is sleeping
[57]: 2 is thinking
[57]: 2 is sleeping
[57]: 5 is thinking
[57]: 5 is sleeping
[57]: 3 is thinking
[57]: 3 is sleeping
[57]: 1 is thinking
[57]: 1 is sleeping
[58]: 4 is thinking
[58]: 4 is sleeping
[58]: 2 is thinking
[58]: 2 is sleeping
[58]: 5 is thinking
[58]: 5 is sleeping
[59]: 3 is thinking
[59]: 3 is sleeping
[59]: 1 is thinking
[59]: 1 is sleeping
[59]: 4 is thinking
[59]: 4 is sleeping
[59]: 2 is thinking
[59]: 2 is sleeping
[60]: 5 is thinking
[60]: 5 is sleeping
[60]: 3 is thinking
[60]: 3 is sleeping
[60]: 1 is thinking
[60]: 1 is sleeping
[60]: 4 is thinking
[60]: 4 is sleeping
[61]: 2 is thinking
[61]: 2 is sleeping
[61]: 5 is thinking
[61]: 5 is sleeping
[61]: 3 is thinking
[61]: 3 is sleeping
[61]: 1 is thinking
[61]: 1 is sleeping
[62]: 4 is thinking
[62]: 4 is sleeping
[62]: 2 is thinking
[62]: 2 is sleeping
[62]: 5 is thinking
[62]: 5 is sleeping
[62]: 3 is thinking
[62]: 3 is sleeping
[63]: 1 is thinking
[63]: 1 is sleeping
[63]: 4 is thinking
[63]: 4 is sleeping
[63]: 2 is thinking
[63]: 2 is sleeping
[63]: 5 is thinking
[63]: 5 is sleeping
[64]: 3 is thinking
[64]: 3 is sleeping
[64]: 1 is thinking
[64]: 1 is sleeping
[64]: 4 is thinking
[64]: 4 is sleeping
[64]: 2 is thinking
[64]: 2 is sleeping
[65]: 5 is thinking
[65]: 5 is sleeping
[65]: 3 is thinking
[65]: 3 is sleeping
[65]: 1 is thinking
[65]: 1 is sleeping
[65]: 4 is thinking
[65]: 4 is sleeping
[66]: 2 is thinking
[66]: 2 is sleeping
[66]: 5 is thinking
[66]: 5 is sleeping
[66]: 3 is thinking
[66]: 3 is sleeping
[66]: 1 is thinking
[66]: 1 is sleeping
[67]: 4 is thinking
[67]: 4 is sleeping
[67]: 2 is thinking
[67]: 2 is sleeping
[67]: 5 is thinking
[67]: 5 is sleeping
[67]: 3 is thinking
[67]: 3 is sleeping
[68]: 1 is thinking
[68]: 1 is sleeping
[68]: 4 is thinking
[68]: 4 is sleeping
[68]: 2 is thinking
[68]: 2 is sleeping
[69]: 5 is thinking
[69]: 5 is sleeping
[69]: 3 is thinking
[69]: 3 is sleeping
[69]: 1 is thinking
[69]: 1 is sleeping
[69]: 4 is thinking
[69]: 4 is sleeping
[70]: 2 is thinking
[70]: 2 is sleeping
[70]: 5 is thinking
[70]: 5 is sleeping
[70]: 3 is thinking
[70]: 3 is sleeping
[70]: 1 is thinking
[70]: 1 is sleeping
[71]: 4 is thinking
[71]: 4 is sleeping
[71]: 2 is thinking
[71]: 2 is sleeping
